index,orig_file_path,orig_file_name,correct_file_name,group,group_index,comment
0,wt\0\SQ_Saw 2048.wav,SQ_Saw 2048.wav,Square-Saw I,Basic,1,
1,wt\1\WT_SIN_SM. SQUARE_2048.wav,WT_SIN_SM. SQUARE_2048.wav,Sin-Square,Basic,4,
2,wt\2\saege1 edit Ph_SM.wav,saege1 edit Ph_SM.wav,Drive I,Analog/Electric,8,
3,wt\3\saege2.wav,saege2.wav,Drive II,Analog/Electric,9,
4,wt\4\WT_G2 NORD Formants.wav,WT_G2 NORD Formants.wav,Modern Talking,Digital/Hybrid,2,
5,wt\5\WT32_wvs19_1024.wav,WT32_wvs19_1024.wav,Formant Saw,Digital/Hybrid,8,
6,wt\6\WT_New Fucktech 01 MAXED1024.wav,WT_New Fucktech 01 MAXED1024.wav,Kangaroo,Analog/Electric,19,
7,wt\7\A6 Dist Filter_MAX_x35 1024.wav,A6 Dist Filter_MAX_x35 1024.wav,Disto,Analog/Electric,23,
8,wt\8\WT_ZAMA Crass maxed _1024.wav,WT_ZAMA Crass maxed _1024.wav,Crusher,Analog/Electric,17,
9,wt\9\A6 Sync02xEngine64Len1024.wav,A6 Sync02xEngine64Len1024.wav,,,,file no longer exists in massive 1.4
10,wt\10\WT Pho mix002_1024.wav,WT Pho mix002_1024.wav,Magyr,Digital/Hybrid,20,
11,wt\11\Fzmo Wt7_01_1024.wav,Fzmo Wt7_01_1024.wav,Sonic,Digital/Hybrid,10,
12,wt\12\WT_CB3_ R26_SM_1024.wav,WT_CB3_ R26_SM_1024.wav,Melomantic,Digital/Hybrid,4,
13,wt\13\WT41_phase corr.2048.wav,WT41_phase corr.2048.wav,Iron,FX/Chords,3,
14,wt\14\WT_Noise kaputt_2048.wav,WT_Noise kaputt_2048.wav,Frozen,Analog/Electric,20,
15,wt\15\CAM chords WT_1024.wav,CAM chords WT_1024.wav,Camchord,FX/Chords,1,
16,wt\16\ANAMIX_002_1024.wav,ANAMIX_002_1024.wav,Electric,Analog/Electric,11,
17,wt\17\Fzmo WT 16_ALL_1024.wav,Fzmo WT 16_ALL_1024.wav,Formant Square,Digital/Hybrid,9,
18,wt\18\voc2.wav,voc2.wav,Deep Throat,Digital/Hybrid,3,
19,wt\19\saege3.wav,saege3.wav,Drive III,Analog/Electric,10,
20,wt\20\hybrid5.wav,hybrid5.wav,Duckorgan,Digital/Hybrid,12,
21,wt\21\analog1.wav,analog1.wav,Groan I,Analog/Electric,3,
22,wt\22\analog2.wav,analog2.wav,Groan II,Analog/Electric,4,
23,wt\23\analog3.wav,analog3.wav,Groan III,Analog/Electric,5,
24,wt\24\hybrid6.wav,hybrid6.wav,Flenders I,Digital/Hybrid,13,
25,wt\25\hybrid7.wav,hybrid7.wav,Flenders II,Digital/Hybrid,14,
26,wt\26\hybrid8.wav,hybrid8.wav,Digi Cook I,Digital/Hybrid,16,Hybrid Tables
27,wt\27\analog5.wav,analog5.wav,Groan IV,Analog/Electric,6,
28,wt\28\analog4.wav,analog4.wav,Crude,Analog/Electric,7,
29,wt\29\WT_DNB VERL_.Len1024.wav,WT_DNB VERL_.Len1024.wav,Dirty Needle,Analog/Electric,13,
30,wt\30\WT_MIXX2.Len1024.wav,WT_MIXX2.Len1024.wav,A.I.,Digital/Hybrid,21,
31,wt\31\WT_SMSQ_2048.wav,WT_SMSQ_2048.wav,Smooth Square,Basic,3,
32,wt\32\hybrid10.wav,hybrid10.wav,Digi Cook II,Digital/Hybrid,17,
33,wt\33\FormantSin.wav,FormantSin.wav,Digi Cook III,Digital/Hybrid,18,
34,wt\34\SinLow.wav,SinLow.wav,AdditivMix I,Basic,16,
35,wt\35\Squares.wav,Squares.wav,Roughmath I,Basic,8,
36,wt\36\Formant.wav,Formant.wav,Sinformant,Basic,14,
37,wt\37\Sines_2048.wav,Sines_2048.wav,AdditivMix II,Basic,17,
38,wt\38\Sines2_2048.wav,Sines2_2048.wav,AdditivMix III,Basic,18,
39,wt\39\Sines3_2048.wav,Sines3_2048.wav,AdditivMix IV,Basic,19,
40,wt\40\WT_Carbon2 snap2_1024.wav,WT_Carbon2 snap2_1024.wav,Silver,Digital/Hybrid,22,
41,wt\41\heavy_2048.wav,heavy_2048.wav,Roughmath II,Basic,9,
42,wt\42\WT_Carbon2 snap5_1024.wav,WT_Carbon2 snap5_1024.wav,Scrap Yard,Digital/Hybrid,23,
43,wt\43\Sin2Noise2_2048.wav,Sin2Noise2_2048.wav,Chrome,Digital/Hybrid,19,
44,wt\44\Saws_2048.wav,Saws_2048.wav,PolySaw I,Basic,6,
45,wt\45\Sines5_2048.wav,Sines5_2048.wav,AdditivMix V,Basic,20,
46,wt\46\Saws2_2048.wav,Saws2_2048.wav,PolySaw II,Basic,7,
47,wt\47\Saw2Sqr2_2048.wav,Saw2Sqr2_2048.wav,Escalation I,Basic,11,
48,wt\48\Sin2Sqr_2048.wav,Sin2Sqr_2048.wav,Inharmonic,Basic,22,
49,wt\49\SinBend_2048.wav,SinBend_2048.wav,Sinarmonic I,Basic,23,
50,wt\50\Rand_2048.wav,Rand_2048.wav,Roughmath III,Basic,10,
51,wt\51\Tri Sin2048.wav,Tri Sin2048.wav,Sin-Triangle,Basic,5,
52,wt\52\Sqrs_2048.wav,Sqrs_2048.wav,Multiplex,Basic,13,
53,wt\53\WT29 MELOFANT_256.wav,WT29 MELOFANT_256.wav,Melofant,Digital/Hybrid,5,
54,wt\54\0\TANITH VOCAL_1x5_1024.wav,TANITH VOCAL_1x5_1024.wav,Gentle Speech,Digital/Hybrid,1,Multisample
55,wt\54\1\TANITH VOCAL_1x5_512.wav,TANITH VOCAL_1x5_512.wav,,,,
56,wt\54\2\TANITH VOCAL_1x5_256.wav,TANITH VOCAL_1x5_256.wav,,,,
57,wt\54\3\TANITH VOCAL_1x4_128.wav,TANITH VOCAL_1x4_128.wav,,,,
58,wt\54\4\TANITH VOCAL_1x5_64.wav,TANITH VOCAL_1x5_64.wav,,,,
59,wt\55\Noisy2_2048.wav,Noisy2_2048.wav,Cicada,FX/Chords,4,
60,wt\56\Sins_2048.wav,Sins_2048.wav,Sinarmonic II,Basic,24,
61,wt\57\Sin2Sqr2_2048.wav,Sin2Sqr2_2048.wav,Escalation II,Basic,12,
62,wt\58\WT_Carbon2 snap8_1024.wav,WT_Carbon2 snap8_1024.wav,Wicked,Digital/Hybrid,24,
63,wt\59\Bruell Bass_Engine17Len1024.wav,Bruell Bass_Engine17Len1024.wav,Vulgar,Analog/Electric,21,
64,wt\60\WT_ Strontium_1024.wav,WT_ Strontium_1024.wav,Strontium,Analog/Electric,16,
65,wt\61\Carbon2 chords x3_4096.wav,Carbon2 chords x3_4096.wav,Colors,FX/Chords,2,
66,wt\62\WT._DopplerBass_ CORR2x15_1024.wav,WT._DopplerBass_ CORR2x15_1024.wav,Classic,Analog/Electric,22,
67,wt\63\0\CLIPBAC 1M-M1348_2048.wav,CLIPBAC 1M-M1348_2048.wav,,,,Multisample
68,wt\63\1\CLIPBAC 1M-M676_1024.wav,CLIPBAC 1M-M676_1024.wav,,,,
69,wt\63\2\CLIPBAC 1M-M337_512.wav,CLIPBAC 1M-M337_512.wav,,,,
70,wt\63\3\CLIPBAC 1M-M168_256.wav,CLIPBAC 1M-M168_256.wav,,,,
71,wt\63\4\CLIPBAC 1M-M84_128.wav,CLIPBAC 1M-M84_128.wav,,,,
72,wt\64\0\RHODESG_MAXB_1024.wav,RHODESG_MAXB_1024.wav,Herby,Digital/Hybrid,27,Multisample
73,wt\64\1\RHODESG_MAXB_512.wav,RHODESG_MAXB_512.wav,,,,
74,wt\64\2\RHODESG_MAXB_256.wav,RHODESG_MAXB_256.wav,,,,
75,wt\64\3\RHODESG_MAXB_128.wav,RHODESG_MAXB_128.wav,,,,
76,wt\64\4\RHODESG_MAXB_64.wav,RHODESG_MAXB_64.wav,,,,
77,wt\64\5\RHODESG_MAXB_32.wav,RHODESG_MAXB_32.wav,,,,
78,wt\65\0\WT_CB3_S22_MELOMANTIC_25x1024.wav,WT_CB3_S22_MELOMANTIC_25x1024.wav,Digigrain I,Digital/Hybrid,6,Multisample
79,wt\65\1\WTFC_25x512_13312.wav,WTFC_25x512_13312.wav,,,,
80,wt\65\2\WTFC_26x256_6656.wav,WTFC_26x256_6656.wav,,,,
81,wt\65\3\WTFC_26x128_3328.wav,WTFC_26x128_3328.wav,,,,
82,wt\66\0\WTFC_CB3_ 22_1024x21.wav,WTFC_CB3_ 22_1024x21.wav,Digigrain II,Digital/Hybrid,7,Multisample
83,wt\66\1\WTFC_CB3_ 22_512x21.wav,WTFC_CB3_ 22_512x21.wav,,,,
84,wt\66\2\WTFC_CB3_ 22_256x21.wav,WTFC_CB3_ 22_256x21.wav,,,,
85,wt\66\3\WTFC_CB3_ 22_128x21.wav,WTFC_CB3_ 22_128x21.wav,,,,
86,wt\67\WT_absurton 2_4x1024.wav,WT_absurton 2_4x1024.wav,Arctic,Digital/Hybrid,26,
87,wt\68\dirty_pwm.wav,dirty_pwm.wav,Dirty PWM,Analog/Electric,15,
88,wt\69\WT_BULGERY O3_ org.wav,WT_BULGERY O3_ org.wav,Dirty Throat,Analog/Electric,14,
89,wt\70\WT_Tr31 HCB_013_1024.wav,WT_Tr31 HCB_013_1024.wav,Screamer,Analog/Electric,12,
90,wt\71\WT_SQELCHY_ALL_1024.wav,WT_SQELCHY_ALL_1024.wav,Squelchy,Digital/Hybrid,11,
91,wt\72\WT_HBIT_1024.wav,WT_HBIT_1024.wav,Reducer,Analog/Electric,18,
92,wt\73\ACID WAVESx4_ 2048.wav,ACID WAVESx4_ 2048.wav,Square-Saw II,Basic,2,
93,wt\74\Wt_Fizmo5 C _2048.wav,Wt_Fizmo5 C _2048.wav,Bronze,Digital/Hybrid,25,
94,wt\75\Power sinuesse_x8_ 2048.wav,Power sinuesse_x8_ 2048.wav,Bender,Digital/Hybrid,28,
95,wt\76\WT_add_oct RX_1024.wav,WT_add_oct RX_1024.wav,AdditivOctaves,Basic,15,
96,wt\77\WT_100_add_RX_1024.wav,WT_100_add_RX_1024.wav,Additivmix VI,Basic,21,
97,wt\78\WT EB ATT BEST SEL1.wav,WT EB ATT BEST SEL1.wav,Guitar Pulse,Digital/Hybrid,29,
98,wt\79\0\LOALL_x4_1024.wav,LOALL_x4_1024.wav,,,,
99,wt\79\1\HIALL_x4_1024.wav,HIALL_x4_1024.wav,,,,
100,wt\80\WT_RX_organs_1024.wav,WT_RX_organs_1024.wav,Flenders III,Digital/Hybrid,15,
101,wt\81\CA _part 2.wav,CA _part 2.wav,Carbon,Analog/Electric,24,(reversed) file doesn't exist in massive 1.4
102,wt\82\finalchord.wav,finalchord.wav,Melancholia,FX/Chords,5,file doesn't exists in massive 1.4
103,wt\83\chord1.wav,chord1.wav,,,,file no longer exists in massive 1.4
104,wt\84\noiztable1.wav,noiztable1.wav,Lunacy,FX/Chords,6,file no longer exists in massive 1.4
